no,시군구,동읍면,total,total_male,total_female,over_18age_total,over_18age_male,over_18age_female,over_65age_total,over_65age_male,over_65age_female
66,동구,total,85988.0,41973.0,44015.0,78665.0,38193.0,40472.0,17161.0,9272.0,7889.0
67,동구,초량1동,4914.0,2474.0,2440.0,4557.0,2301.0,2256.0,961.0,526.0,435.0
68,동구,초량2동,5470.0,2723.0,2747.0,5160.0,2555.0,2605.0,1314.0,686.0,628.0
69,동구,초량3동,12931.0,6242.0,6689.0,11088.0,5283.0,5805.0,1185.0,686.0,499.0
70,동구,초량6동,5565.0,2707.0,2858.0,5176.0,2504.0,2672.0,1444.0,750.0,694.0
71,동구,수정1동,4013.0,1948.0,2065.0,3632.0,1747.0,1885.0,817.0,445.0,372.0
72,동구,수정2동,9482.0,4508.0,4974.0,8727.0,4121.0,4606.0,2026.0,1090.0,936.0
73,동구,수정4동,3677.0,1812.0,1865.0,3490.0,1709.0,1781.0,1108.0,542.0,566.0
74,동구,수정5동,5002.0,2397.0,2605.0,4671.0,2224.0,2447.0,1320.0,690.0,630.0
75,동구,좌천동,11611.0,5640.0,5971.0,10689.0,5168.0,5521.0,2298.0,1275.0,1023.0
76,동구,범일1동,11348.0,5574.0,5774.0,10642.0,5218.0,5424.0,2670.0,1445.0,1225.0
77,동구,범일2동,7761.0,3880.0,3881.0,7143.0,3562.0,3581.0,1269.0,745.0,524.0
78,동구,범일5동,4214.0,2068.0,2146.0,3690.0,1801.0,1889.0,749.0,392.0,357.0
79,북구,total,270824.0,133006.0,137818.0,238867.0,116603.0,122264.0,60976.0,27470.0,33506.0
80,북구,구포1동,15224.0,7634.0,7590.0,13883.0,6968.0,6915.0,3817.0,1749.0,2068.0
81,북구,구포2동,23513.0,12009.0,11504.0,21326.0,10869.0,10457.0,5542.0,2600.0,2942.0
82,북구,구포3동,17982.0,9207.0,8775.0,16517.0,8439.0,8078.0,4384.0,2031.0,2353.0
83,북구,금곡동,35206.0,16956.0,18250.0,31768.0,15198.0,16570.0,9942.0,4249.0,5693.0
84,북구,화명1동,39509.0,19290.0,20219.0,32984.0,15993.0,16991.0,5725.0,2785.0,2940.0
85,북구,화명2동,17125.0,8286.0,8839.0,14882.0,7131.0,7751.0,3354.0,1488.0,1866.0
86,북구,화명3동,28183.0,13739.0,14444.0,23616.0,11374.0,12242.0,4595.0,2050.0,2545.0
87,북구,덕천1동,13329.0,6523.0,6806.0,12250.0,5973.0,6277.0,3696.0,1582.0,2114.0
88,북구,덕천2동,11007.0,5496.0,5511.0,10365.0,5166.0,5199.0,3159.0,1362.0,1797.0
89,북구,덕천3동,9823.0,4768.0,5055.0,9094.0,4399.0,4695.0,3055.0,1256.0,1799.0
90,북구,만덕1동,16201.0,7895.0,8306.0,14040.0,6783.0,7257.0,3465.0,1624.0,1841.0
91,북구,만덕2동,26293.0,12813.0,13480.0,22538.0,10861.0,11677.0,5697.0,2613.0,3084.0
92,북구,만덕3동,17429.0,8390.0,9039.0,15604.0,7449.0,8155.0,4545.0,2081.0,2464.0
93,영도구,total,105434.0,51742.0,53692.0,95996.0,46892.0,49104.0,,,
94,영도구,남항동,10175.0,5073.0,5102.0,9531.0,4740.0,4791.0,,,
95,영도구,영선1동,3667.0,1741.0,1926.0,3359.0,1583.0,1776.0,,,
96,영도구,영선2동,7376.0,3575.0,3801.0,6772.0,3251.0,3521.0,,,
97,영도구,신선동,7159.0,3554.0,3605.0,6794.0,3362.0,3432.0,,,
98,영도구,봉래1동,6224.0,3075.0,3149.0,5712.0,2809.0,2903.0,,,
99,영도구,봉래2동,7251.0,3515.0,3736.0,6430.0,3105.0,3325.0,,,
100,영도구,청학1동,5392.0,2631.0,2761.0,4884.0,2349.0,2535.0,,,
101,영도구,청학2동,16407.0,8081.0,8326.0,14760.0,7257.0,7503.0,,,
102,영도구,동삼1동,27962.0,13571.0,14391.0,25043.0,12090.0,12953.0,,,
103,영도구,동삼2동,5038.0,2632.0,2406.0,4400.0,2303.0,2097.0,,,
104,영도구,동삼3동,8783.0,4294.0,4489.0,8311.0,4043.0,4268.0,,,
105,부산진구,total,718750.0,173709.0,185666.0,,,,,,
106,부산진구,부전제1동,15552.0,7823.0,7729.0,,,,,,
107,부산진구,부전제2동,9947.0,4995.0,4952.0,,,,,,
108,부산진구,연지동,20842.0,9844.0,10998.0,,,,,,
109,부산진구,초읍동,22431.0,10906.0,11525.0,,,,,,
110,부산진구,양정제1동,20540.0,9732.0,10808.0,,,,,,
111,부산진구,양정제2동,12976.0,5961.0,7015.0,,,,,,
112,부산진구,전포제1동,20927.0,10071.0,10856.0,,,,,,
113,부산진구,전포제2동,21101.0,9939.0,11162.0,,,,,,
114,부산진구,부암제1동,23009.0,11232.0,11777.0,,,,,,
115,부산진구,부암제3동,18011.0,8869.0,9142.0,,,,,,
116,부산진구,당감제1동,23900.0,11398.0,12502.0,,,,,,
117,부산진구,당감제2동,10333.0,4974.0,5359.0,,,,,,
118,부산진구,당감제4동,11757.0,5761.0,5996.0,,,,,,
119,부산진구,가야제1동,19989.0,9942.0,10047.0,,,,,,
120,부산진구,가야제2동,17199.0,8378.0,8821.0,,,,,,
121,부산진구,개금제1동,17202.0,8227.0,8975.0,,,,,,
122,부산진구,개금제2동,11357.0,5556.0,5801.0,,,,,,
123,부산진구,개금제3동,29547.0,14298.0,15249.0,,,,,,
124,부산진구,범천제1동,12046.0,5726.0,6320.0,,,,,,
125,부산진구,범천제2동,20709.0,10077.0,10632.0,,,,,,
126,해운대구,total,377664
127,해운대구,반송제1동,12404
128,해운대구,반송제2동,21338
129,해운대구,반여제1동,34194
130,해운대구,반여제2동,11551
131,해운대구,반여제3동,7729
132,해운대구,반여제4동,14774
133,해운대구,송정동,9291
134,해운대구,우제1동,21887
135,해운대구,우제2동,29910
136,해운대구,우제3동,27924
137,해운대구,재송제1동,36529
138,해운대구,재송제2동,22606
139,해운대구,좌제1동,17293
140,해운대구,좌제2동,30546
141,해운대구,좌제3동,15198
142,해운대구,좌제4동,22090
143,해운대구,중제1동,27217
144,해운대구,중제2동,15183
